name,create_date,source,value,value_desc
High PPS,2019-06-11 01:17:14.899+0000,High PPS,"{'PPS', 'Recovery to STBL'}",High PPS
commodity,2019-04-15 13:10:57.684+0000,commodity,"{'CFI', 'Hard Drive', 'ISG Mechanical', 'Network Card', 'Networking', 'Processor', 'Software', 'XLOB'}",commodity
REASON_CODE,2019-05-31 13:34:58.385+0000,REASON_CODE,"{'BTB', 'BTB - DSS/DCS', 'BTB - Non CFI low Run Rate Part', 'BTB - Planned CFI', 'BTB - VALV', 'CFI - CFI Order', 'ENG', 'ENG - Engineering Issues', 'ENG - Quality Issues (SQE)', 'EOL', 'EOL - Transition Management', 'FCA', 'FCA - Abnormal Demand', 'FCA - Abnormal Demand(Platform)', 'FCA - DSS/DCS', 'FCA - Demand Upside', 'FCA - Demand Upside(Platform)', 'FCA - Lead Time Issue', 'GEO', 'GEO - Geography', 'IND', 'IND - WW Allocation/Event Mgmt', 'LOG', 'LOG - Carrier Execution/Delay', 'LOG - Customs Delay', 'LOG - Material Damaged in Transit', 'LOT', 'LOT - Non Compliant LO', 'LOT - Planned LO Entered within LT', 'LOT - Unplanned Large Order', 'NPI', 'NPI - Transition Management', 'PEN - Pending update', 'PNS', 'PNS - Illegal or Invalid - Pending C and R', 'PNS - Material Available in HUB', 'PRO', 'PRO - Buyer Not Assigned', 'PRO - PO Issues', 'PRO - Part not pulled', 'PRO - Part/Deviation not setup/Platform Restriction', 'RRI - Run Rate Increase', 'SCH - Scheduled - FDD/FGA', 'SCH - Scheduled - FDD/FGA/VALV part', 'SQE', 'SUP', 'SUP - Low DSI', 'SUP - Low DSI plan', 'SUP - Quality Issues (SQE)', 'SUP - Sub Tier  -  Material Constraint', 'SUP - Supplier Decommit'}",REASON_CODE
RULE_MEASURES,2019-04-10 00:00:00.000+0000,COSRED,"{'PPS', 'STBL'}",Rulemeasures
SITE_XREF,2019-06-11 01:17:01.837+0000,SITE_XREF,"{'APCC', 'BRH', 'CCC', 'CCC6', 'COV', 'Compal KS', 'DBI', 'EMFP', 'FSJ', 'ICC', 'TIL'}",SITE_XREF
Severe STBL,2019-06-11 01:17:30.127+0000,Severe STBL,"{'Recovery to STBL', 'STBL'}",Severe STBL
LOB,2019-08-02 14:15:21.000+0000,product_hierarchy,"{'ALIENWARE DESKTOPS', 'ALIENWARE NOTEBOOKS', 'ANALYTICS THIRD PARTY', 'APPLICATIONS DEVELOPMENT', 'AVAMAR', 'BI APPLICATIONS', 'CAT_ALL_LOB', 'CENTERA', 'CLIENT PERIPHERALS', 'CLOUD NATIVE DP', 'CLOUD PRODUCTS', 'CLOUDLINK', 'COMMERCIAL CHROME', 'COMMON FAMILY', 'CONNECTRIX', 'CONSUMER CHROME', 'CS 3RD PARTY SOFTWARE', 'CS DEPLOYMENT SERVICES', 'CS OTHER SERVICES', 'CS SUPPORT SERVICES', 'DATA PROTECTION APP TRANS', 'DATA PROTECTION SUITE', 'DATA PROTECTION SW TRANS', 'DATA SECURITY SOLUTIONS', 'DATADOMAIN', 'DCA', 'DELL NETWORKING', 'DELL STORAGE OEM', 'DELL STORAGE PS', 'DELL STORAGE SC', 'DISPLAYS', 'DLM', 'ELASTIC CLOUD STORAGE', 'EMC', 'EMC LOB DESC 1', 'EMC SELECT', 'ENTERPRISE PERIPHERALS', 'ESG 3RD PARTY SOFTWARE', 'ESG DEPLOYMENT SERVICES', 'ESG OTHER SERVICES', 'ESG SUPPORT SERVICES', 'EUC OTHER', 'HYPERCONVERGED INFRAS TRANS', 'IMAGING', 'INSPIRON DESKTOPS', 'INSPIRON NOTEBOOKS', 'INTEG APPLIANCE', 'INTERNET OF THINGS', 'ISILON', 'LATITUDE', 'LOB2', 'MOBILE ELECTRONICS', 'OBSOLETE SYSTEMS 4', 'OEM NETWORKING', 'OPTIPLEX DESKTOPS', 'OTHER ELECTRONICS', 'PIV APP', 'PIV PCF', 'POWEREDGE', 'POWEREDGE - SC', 'POWERMAX', 'PRECISION DESKTOPS', 'PRECISION NOTEBOOKS', 'RECOVERPOINT FAMILY', 'SECURITY AND THREAT MANAGEMENT', 'SOFTWARE - SERVER AND OTHER', 'SOFTWARE - STORAGE', 'STORAGE INTEGRATED OFFER', 'STORAGE VIRTUALIZATION', 'SYMMETRIX', 'TABLETS', 'TRIDENT', 'TVS', 'UNIFIED', 'UNITY', 'UNITY AFA', 'VCE', 'VIRTUSTREAM STORAGE CLOUD', 'VMAX AFA', 'VOSTRO DESKTOPS', 'VOSTRO NOTEBOOKS', 'VXRACK AS', 'VXRACK FLEX', 'VXRACK SDDC', 'VXRAIL', 'WEB PRODUCTS', 'WYSE', 'XPS DESKTOPS', 'XPS NOTEBOOKS', 'XTREMIO'}",Distinct LOB Values
Long Term Gap Out,2019-06-11 01:17:42.867+0000,Long Term Gap Out,{'Recovery to STBL'},Long Term Gap Out
COMMODITY,2019-05-22 06:21:53.086+0000,COMMODITY,"{'Battery', 'Carrying Case', 'ISG Peripheral', 'Mechanical', 'Memory', 'Optional', 'Processor', 'Regional Commodity', 'Software', 'XLOB'}",COMMODITY
RULETYPES,2019-06-11 01:17:55.073+0000,COSRED,"{'High PPS', 'Long Term Gap Out', 'Severe STBL'}",RULETYPES
region,2019-04-15 13:15:19.542+0000,region,{'EMEA'},region
